Model,MAE,RMSE,R2,Training_Time
Gradient Boosting,180.36543800125816,491.5661625185379,0.3269773085990749,4.272306203842163
Deep Learning (Keras MLP),182.1351059790143,492.94276996592174,0.32320249490096875,12.640789031982422
XGBoost,179.5080807983205,519.1356965917253,0.2493672095190203,1.5323474407196045
Linear Regression,222.2222261020565,524.5403655189544,0.2336563275862148,0.9064226150512696
Random Forest,177.62192487737525,527.6953593469497,0.2244098290903294,11.25358271598816
